t; alpha; omega
174; 3.1404100; 0.0000727
175; 3.1404158; 0.0000445
176; 3.1404189; 0.0000188
177; 3.1404196; -0.0000045
178; 3.1404181; -0.0000255
179; 3.1404146; -0.0000444
180; 3.1404093; -0.0000613
181; 3.1404024; -0.0000762
182; 3.1403941; -0.0000893
183; 3.1403846; -0.0001007
184; 3.1403741; -0.0001104
185; 3.1403626; -0.0001187
186; 3.1403504; -0.0001256
187; 3.1403375; -0.0001312
188; 3.1403242; -0.0001355
189; 3.1403105; -0.0001388
190; 3.1402965; -0.0001410
191; 3.1402823; -0.0001423
192; 3.1402680; -0.0001427
193; 3.1402538; -0.0001424
194; 3.1402396; -0.0001413
195; 3.1402255; -0.0001397
196; 3.1402117; -0.0001375
197; 3.1401980; -0.0001348
198; 3.1401847; -0.0001316
199; 3.1401717; -0.0001281
200; 3.1401591; -0.0001243
201; 3.1401469; -0.0001202
202; 3.1401351; -0.0001159
203; 3.1401237; -0.0001114
204; 3.1401128; -0.0001067
205; 3.1401024; -0.0001020
206; 3.1400924; -0.0000972
207; 3.1400829; -0.0000924
208; 3.1400739; -0.0000875
209; 3.1400654; -0.0000827
210; 3.1400574; -0.0000779
211; 3.1400498; -0.0000731
212; 3.1400428; -0.0000685
213; 3.1400361; -0.0000639
214; 3.1400300; -0.0000595
215; 3.1400242; -0.0000552
216; 3.1400189; -0.0000510
217; 3.1400140; -0.0000469
218; 3.1400095; -0.0000430
219; 3.1400054; -0.0000393
220; 3.1400017; -0.0000357
221; 3.1399983; -0.0000323
222; 3.1399952; -0.0000290
223; 3.1399925; -0.0000259
224; 3.1399901; -0.0000230
225; 3.1399879; -0.0000202
226; 3.1399860; -0.0000176
227; 3.1399844; -0.0000151
228; 3.1399830; -0.0000128
229; 3.1399818; -0.0000107
230; 3.1399808; -0.0000087
231; 3.1399801; -0.0000069
232; 3.1399795; -0.0000052
233; 3.1399790; -0.0000036
234; 3.1399787; -0.0000022
235; 3.1399786; -0.0000009
236; 3.1399785; 0.0000003
237; 3.1399786; 0.0000014
238; 3.1399788; 0.0000023
239; 3.1399791; 0.0000032
240; 3.1399795; 0.0000039
241; 3.1399799; 0.0000046
242; 3.1399804; 0.0000052
243; 3.1399809; 0.0000057
244; 3.1399815; 0.0000061
245; 3.1399821; 0.0000064
246; 3.1399828; 0.0000067
247; 3.1399835; 0.0000069
248; 3.1399842; 0.0000071
249; 3.1399849; 0.0000072
250; 3.1399856; 0.0000073
251; 3.1399863; 0.0000073
252; 3.1399871; 0.0000073
253; 3.1399878; 0.0000072
254; 3.1399885; 0.0000071
255; 3.1399892; 0.0000070
256; 3.1399899; 0.0000069
257; 3.1399906; 0.0000067
258; 3.1399913; 0.0000065
259; 3.1399919; 0.0000063
260; 3.1399925; 0.0000061
261; 3.1399931; 0.0000059
262; 3.1399937; 0.0000057
263; 3.1399943; 0.0000054
264; 3.1399948; 0.0000052
265; 3.1399953; 0.0000050
266; 3.1399958; 0.0000047
267; 3.1399962; 0.0000045
268; 3.1399967; 0.0000042
269; 3.1399971; 0.0000040
270; 3.1399975; 0.0000037
271; 3.1399978; 0.0000035
272; 3.1399982; 0.0000033
273; 3.1399985; 0.0000030
