t; alpha; omega
871; 3.1400000; -0.0000000
872; 3.1400000; -0.0000000
873; 3.1400000; -0.0000000
874; 3.1400000; -0.0000000
875; 3.1400000; -0.0000000
876; 3.1400000; -0.0000000
877; 3.1400000; -0.0000000
878; 3.1400000; -0.0000000
879; 3.1400000; -0.0000000
880; 3.1400000; -0.0000000
881; 3.1400000; -0.0000000
882; 3.1400000; -0.0000000
883; 3.1400000; -0.0000000
884; 3.1400000; -0.0000000
885; 3.1400000; -0.0000000
886; 3.1400000; -0.0000000
887; 3.1400000; -0.0000000
888; 3.1400000; -0.0000000
889; 3.1400000; -0.0000000
890; 3.1400000; -0.0000000
891; 3.1400000; -0.0000000
892; 3.1400000; -0.0000000
893; 3.1400000; -0.0000000
894; 3.1400000; -0.0000000
895; 3.1400000; -0.0000000
896; 3.1400000; -0.0000000
897; 3.1400000; -0.0000000
898; 3.1400000; -0.0000000
899; 3.1400000; -0.0000000
900; 3.1400000; -0.0000000
901; 3.1400000; -0.0000000
902; 3.1400000; -0.0000000
903; 3.1400000; -0.0000000
904; 3.1400000; -0.0000000
905; 3.1400000; -0.0000000
906; 3.1400000; -0.0000000
907; 3.1400000; -0.0000000
908; 3.1400000; -0.0000000
909; 3.1400000; -0.0000000
910; 3.1400000; -0.0000000
911; 3.1400000; -0.0000000
912; 3.1400000; -0.0000000
913; 3.1400000; -0.0000000
914; 3.1400000; -0.0000000
915; 3.1400000; -0.0000000
916; 3.1400000; -0.0000000
917; 3.1400000; -0.0000000
918; 3.1400000; -0.0000000
919; 3.1400000; -0.0000000
920; 3.1400000; -0.0000000
921; 3.1400000; -0.0000000
922; 3.1400000; -0.0000000
923; 3.1400000; -0.0000000
924; 3.1400000; -0.0000000
925; 3.1400000; -0.0000000
926; 3.1400000; -0.0000000
927; 3.1400000; -0.0000000
928; 3.1400000; -0.0000000
929; 3.1400000; -0.0000000
930; 3.1400000; -0.0000000
931; 3.1400000; -0.0000000
932; 3.1400000; -0.0000000
933; 3.1400000; -0.0000000
934; 3.1400000; -0.0000000
935; 3.1400000; -0.0000000
936; 3.1400000; -0.0000000
937; 3.1400000; -0.0000000
938; 3.1400000; -0.0000000
939; 3.1400000; -0.0000000
940; 3.1400000; -0.0000000
941; 3.1400000; -0.0000000
942; 3.1400000; -0.0000000
943; 3.1400000; -0.0000000
944; 3.1400000; -0.0000000
945; 3.1400000; -0.0000000
946; 3.1400000; -0.0000000
947; 3.1400000; -0.0000000
948; 3.1400000; -0.0000000
949; 3.1400000; -0.0000000
950; 3.1400000; -0.0000000
951; 3.1400000; -0.0000000
952; 3.1400000; -0.0000000
953; 3.1400000; -0.0000000
954; 3.1400000; -0.0000000
955; 3.1400000; -0.0000000
956; 3.1400000; -0.0000000
957; 3.1400000; -0.0000000
958; 3.1400000; -0.0000000
959; 3.1400000; -0.0000000
960; 3.1400000; -0.0000000
961; 3.1400000; -0.0000000
962; 3.1400000; -0.0000000
963; 3.1400000; -0.0000000
964; 3.1400000; -0.0000000
965; 3.1400000; -0.0000000
966; 3.1400000; -0.0000000
967; 3.1400000; -0.0000000
968; 3.1400000; -0.0000000
969; 3.1400000; -0.0000000
970; 3.1400000; -0.0000000
971; 3.1400000; -0.0000000
972; 3.1400000; -0.0000000
973; 3.1400000; -0.0000000
974; 3.1400000; -0.0000000
975; 3.1400000; -0.0000000
976; 3.1400000; -0.0000000
977; 3.1400000; -0.0000000
978; 3.1400000; -0.0000000
979; 3.1400000; -0.0000000
980; 3.1400000; -0.0000000
981; 3.1400000; -0.0000000
982; 3.1400000; -0.0000000
983; 3.1400000; -0.0000000
984; 3.1400000; -0.0000000
985; 3.1400000; -0.0000000
986; 3.1400000; -0.0000000
987; 3.1400000; -0.0000000
988; 3.1400000; -0.0000000
989; 3.1400000; -0.0000000
990; 3.1400000; -0.0000000
991; 3.1400000; -0.0000000
992; 3.1400000; -0.0000000
993; 3.1400000; -0.0000000
994; 3.1400000; -0.0000000
995; 3.1400000; -0.0000000
996; 3.1400000; -0.0000000
997; 3.1400000; -0.0000000
998; 3.1400000; -0.0000000
999; 3.1400000; -0.0000000
1000; 3.1400000; -0.0000000
